Route File,Mount Path,Method,Endpoint,Auth,DB Table(s),Status,Notes / Open Issues
auth.ts,/api/auth,POST,/login,None,users,Done,bcrypt compare password_hash; returns {token user}
auth.ts,/api/auth,POST,/register,None,users,Done,bcrypt hash + INSERT; first user auto-promoted to admin if DB empty
auth.ts,/api/auth,GET,/me,requireAuth,users,Done,Returns decoded JWT user info
clients.ts,/api/clients,GET,/,requireAuth,clients,Done,Returns all clients ordered by created_at
clients.ts,/api/clients,POST,/,requireAuth,clients,Done,INSERT with UUID slug
clients.ts,/api/clients,PUT,/:id,requireAuth,clients,Done,UPDATE fields
clients.ts,/api/clients,DELETE,/:id,requireAuth,clients,Done,DELETE by id
clients.ts,/api/clients,GET,/:id,requireAuth,clients,Done,SELECT by id
sites.ts,/api/sites,GET,/,requireAuth,sites_with_clients view,Done,Returns site + client_ids array via view
sites.ts,/api/sites,POST,/,requireAuth,sites + site_clients,Done,INSERT site then client join rows
sites.ts,/api/sites,PUT,/:id,requireAuth,sites + site_clients,Done,UPDATE site + replace client join rows
sites.ts,/api/sites,DELETE,/:id,requireAuth,sites,Done,CASCADE deletes racks + infra
sites.ts,/api/sites,GET,/:id,requireAuth,sites,Done,SELECT by id
racks.ts,/api/racks,GET,/,requireAuth,racks,Done,All racks; optionally filter by site_id query param
racks.ts,/api/racks,POST,/,requireAuth,racks,Done,INSERT
racks.ts,/api/racks,PUT,/:id,requireAuth,racks,Done,UPDATE
racks.ts,/api/racks,DELETE,/:id,requireAuth,racks,Done,DELETE
racks.ts,/api/racks,GET,/:id,requireAuth,racks,Done,SELECT by id
infrastructure.ts,/api/infrastructure,GET,/,requireAuth,infrastructure,Done,All devices with site JOIN; filter by site_id query param
infrastructure.ts,/api/infrastructure,POST,/,requireAuth,infrastructure,Done,INSERT with all fields
infrastructure.ts,/api/infrastructure,PUT,/:id,requireAuth,infrastructure,Done,UPDATE — partial update supported
infrastructure.ts,/api/infrastructure,DELETE,/:id,requireAuth,infrastructure,Done,DELETE by id
infrastructure.ts,/api/infrastructure,GET,/:id,requireAuth,infrastructure,Done,SELECT by id with site join
infrastructure.ts,/api/infrastructure,POST,/:id/documents,requireAuth,device_documents,Done,Attach document record to device
infrastructure.ts,/api/infrastructure,DELETE,/:id/documents/:docId,requireAuth,device_documents,Done,Remove document
assets.ts,/api/assets,GET,/,requireAuth,assets,Done,All assets; filter by client_id / site_id / status query params
assets.ts,/api/assets,POST,/,requireAuth,assets,Done,INSERT
assets.ts,/api/assets,GET,/stats,requireAuth,assets,Done,Returns counts by status (aggregate query)
assets.ts,/api/assets,GET,/:id,requireAuth,assets,Done,SELECT by id
assets.ts,/api/assets,PUT,/:id,requireAuth,assets,Done,Full UPDATE
assets.ts,/api/assets,PATCH,/:id,requireAuth,assets,Done,Partial UPDATE (status / tags)
assets.ts,/api/assets,DELETE,/:id,requireAuth,assets,Done,DELETE
assets.ts,/api/assets,POST,/bulk,requireAuth,assets,Done,Bulk status update by ids array
assets.ts,/api/assets,DELETE,/bulk,requireAuth,assets,Done,Bulk delete by ids array
